Item Code,Item Name,Company / Brand Code,Minimum Alert Level,Cost Price,Sale Price,Current Stock
"345","Chrysarobinum Medicated Cream","MEK","6",0,0,0
"346","Dermo Mek Acne Medicated Cream","MEK","6",0,0,0
"347","Arnica Medicated Cream","MEK","6",0,0,0
"348","1 Hepar Sulf 30Ml","BM","12",0,0,0
"349","2 Paeonia 30Ml","BM","12",0,0,0
"350","3 Chelidonium 30Ml","BM","12",0,0,0
"351","4 Veratrum Alb 30Ml","BM","12",0,0,0
"352","5 Echinacea 30Ml","BM","12",0,0,0
"353","6 Agripuls 30Ml","BM","12",0,0,0
"354","7 Petroleum 30Ml","BM","12",0,0,0
"355","8 Formica Rufa 30Ml","BM","12",0,0,0
"356","9 Scrophularia 30Ml","BM","12",0,0,0
"357","10 Opuntia 30Ml","BM","12",0,0,0
"358","11 Usnea Barb 30Ml","BM","12",0,0,0
"359","12 Anti Crud 30Ml","BM","12",0,0,0
"360","13 Drosera 30Ml","BM","12",0,0,0
"361","14 Gossypium 30Ml","BM","12",0,0,0
"362","15 Lithium Carb 30Ml","BM","12",0,0,0
"363","16 Cratagus 30Ml","BM","12",0,0,0
"364","17 Passiflora 30Ml","BM","12",0,0,0
"365","18 Ruta Grave","BM","12",0,0,0
"366","19 Fucus Ves 30Ml","BM","12",0,0,0
"367","20 Sulphur 30Ml","BM","12",0,0,0
"368","21 Magnesia Mur 30Ml","BM","12",0,0,0
"369","22 Adonisver 30Ml","BM","12",0,0,0
"370","23 Equisetum 30Ml","BM","12",0,0,0
"371","24 Kali Phos 30Ml","BM","12",0,0,0
"372","25 Humulus Lup 30Ml","BM","12",0,0,0
"373","26 Naphthalinum 30Ml","BM","12",0,0,0
"374","27 Crocus 30Ml","BM","12",0,0,0
"375","28 Arum Triph 30Ml","BM","12",0,0,0
"376","29 Juniperus 30Ml","BM","12",0,0,0
"377","30 Arte Nit 30Ml","BM","12",0,0,0
"378","31 Calcarea Flor 30Ml","BM","12",0,0,0
"379","32 Ceanothus 30Ml","BM","12",0,0,0
"380","33 Ferrum Met 30Ml","BM","12",0,0,0
"381","34 Grindonna 30Ml","BM","12",0,0,0
"382","35 Colocynthis 30Ml","BM","12",0,0,0
"383","36 Fraxinus 30Ml","BM","12",0,0,0
"384","37 Iod Carb 30Ml","BM","12",0,0,0
"385","38 Kali Brom 30Ml","BM","12",0,0,0
"386","39 Urtica Urens 30Ml","BM","12",0,0,0
"387","40 Zincum Acet 30Ml","BM","12",0,0,0
"388","41 Angustura 30Ml","BM","12",0,0,0
"389","42 Baptisia Tinic","BM","12",0,0,0
"390","43 Santonine 30Ml","BM","12",0,0,0
"391","44 Cimicifuga 30Ml","BM","12",0,0,0
"392","45 Clematis 30Ml","BM","12",0,0,0
"393","46 Chamomilla 30Ml","BM","12",0,0,0
"394","47 Ginko Biloba 30Ml","BM","12",0,0,0
"395","48 Chemobell 30Ml","BM","12",0,0,0
"396","49 Saw Palmetto 30Ml","BM","12",0,0,0
"397","50 Baryta Carb 30Ml","BM","12",0,0,0
"398","51 Berberis Vulg 30Ml","BM","12",0,0,0
"399","52 Cardus Mar 30Ml","BM","12",0,0,0
"400","53 Apium Virus 30Ml","BM","12",0,0,0
"401","54 Hyfraga 30Ml","BM","12",0,0,0
"402","55 Daphne Ind 30Ml","BM","12",0,0,0
"403","56 Euphorbium 30Ml","BM","12",0,0,0
"404","57 Echindula 30Ml","BM","12",0,0,0
"405","59 Calcarea 30Ml","BM","12",0,0,0
"406","60 Fuligo 30Ml","BM","12",0,0,0
"407","61 Acid Fumaric 30Ml","BM","12",0,0,0
"408","62 Papaya 30Ml","BM","12",0,0,0
"409","63 Kali Mur 30Ml","BM","12",0,0,0
"410","64  Vesimel 30Ml","BM","12",0,0,0
"411","65 Bellodonna 30Ml","BM","12",0,0,0
"412","66 Ars Sulp","BM","12",0,0,0
"413","67 Stigmaydis 30Ml","BM","12",0,0,0
"414","68 Dulcamara 30Ml","BM","12",0,0,0
"415","69 Lycopodium 30Ml","BM","12",0,0,0
"416","70 Tuja 30Ml","BM","12",0,0,0
"417","71 Baryta Mur 30Ml","BM","12",0,0,0
"418","72 Pareira Brava Baryta Mur 30Ml","BM","12",0,0,0
"419","73 Saccharum 30Ml","BM","12",0,0,0
"420","74 Hydrastis 30Ml","BM","12",0,0,0
"421","75 Alumina 30Ml","BM","12",0,0,0
"422","76 Secale 30Ml","BM","12",0,0,0
"423","77 Podocarb 30Ml","BM","12",0,0,0
"424","78 Condurango 30Ml","BM","12",0,0,0
"425","79 Polygonum 30Ml","BM","12",0,0,0
"426","80 Aletris Far 30Ml","BM","12",0,0,0
"427","81 Camphor 30Ml","BM","12",0,0,0
"428","82 Beta Vulgaris 30Ml","BM","12",0,0,0
"429","83 Rhenum 30Ml","BM","12",0,0,0
"430","84 Lycopodium 30Ml","BM","12",0,0,0
"431","85 Prunus 30Ml","BM","12",0,0,0
"432","86 Filipendula 30Ml","BM","12",0,0,0
"433","87 Gultheria 30Ml","BM","12",0,0,0
"434","88 Moschus 30Ml","BM","12",0,0,0
"435","89 Impatiens Glan 30Ml","BM","12",0,0,0
"436","90 Helonias 30Ml","BM","12",0,0,0
"437","91 Mandragora 30Ml","BM","12",0,0,0
"438","92 Staphis 30Ml","BM","12",0,0,0
"439","94 Menyathus 30Ml","BM","12",0,0,0
"440","93 Mezereum 30Ml","BM","12",0,0,0
"441","95 Platina 30Ml","BM","12",0,0,0
"442","96 Agraphis 30Ml","BM","12",0,0,0
"443","97 Phytolacca Dec 30Ml","BM","12",0,0,0
"444","98 Sanguinaria 30Ml","BM","12",0,0,0
"445","99 Guaiacum 30Ml","BM","12",0,0,0
"446","100 Castoreum 30Ml","BM","12",0,0,0
"447","101 Bromium 30Ml","BM","12",0,0,0
"448","102 Cuprum 30Ml","BM","12",0,0,0
"449","103 Kali Bic 30Ml","BM","12",0,0,0
"450","104 Chimaphila 30Ml","BM","12",0,0,0
"451","105 Ikshugandha 30Ml","BM","12",0,0,0
"452","107 Skookum 30Ml","BM","12",0,0,0
"453","106 Aesculus 30Ml","BM","12",0,0,0
"454","108 Calc Caust 30Ml","BM","12",0,0,0
"455","109 Grindelia Rub 30Ml","BM","12",0,0,0
"456","110  Rhus Tox 30Ml","BM","12",0,0,0
"457","111 Arsenic Alb 30Ml","BM","12",0,0,0
"458","112 Iris Vers 30Ml","BM","12",0,0,0
"459","113 Amloki 30Ml","BM","12",0,0,0
"460","114 Rhus Mara 30Ml","BM","12",0,0,0
"461","115 Borax 30Ml","BM","12",0,0,0
"462","116 Glonine 30Ml","BM","12",0,0,0
"463","117 Chenopodium 30Ml","BM","12",0,0,0
"464","118 Anacardium 30Ml","BM","12",0,0,0
"465","119 Calcium Iod 30Ml","BM","12",0,0,0
"466","120 Abroma Aug 30Ml","BM","12",0,0,0
"467","121 Rhus Vernix 30Ml","BM","12",0,0,0
"468","122 Sabal 30Ml","BM","12",0,0,0
"469","123 Verbascum 30Ml","BM","12",0,0,0
"470","124 Acid Nit 30Ml","BM","12",0,0,0
"471","125 Dolichos 30Ml","BM","12",0,0,0
"472","126 Stigmata May 30Ml","BM","12",0,0,0
"473","127 Yerba 30Ml","BM","12",0,0,0
"474","128 Bryonia 30Ml","BM","12",0,0,0
"475","129 Leptandra 30Ml","BM","12",0,0,0
"476","130 Ferrum Phos 30Ml","BM","12",0,0,0
"477","131 Gymnema 30Ml","BM","12",0,0,0
"478","132 Cadmium Sulph 30Ml","BM","12",0,0,0
"479","133 Silicea 30Ml","BM","12",0,0,0
"480","134 Myristica 30Ml","BM","12",0,0,0
"481","135 Curcuma 30Ml","BM","12",0,0,0
"482","136 Lathyrus Sativ 30Ml","BM","12",0,0,0
"483","137 Prunus Cer 30Ml","BM","12",0,0,0
"484","138 Cephallandra Ind 30Ml","BM","12",0,0,0
"485","139 Rhododendron 30Ml","BM","12",0,0,0
"486","140 Causticum 30Ml","BM","12",0,0,0
"487","141 Symphytum 30Ml","BM","12",0,0,0
"488","142 Cichorium 30Ml","BM","12",0,0,0
"489","143 Alfalfa 30Ml","BM","12",0,0,0
"490","144 Rosmarinus 30Ml","BM","12",0,0,0
"491","145 Strophanthus 30Ml","BM","12",0,0,0
"492","146 Calendula Off 30Ml","BM","12",0,0,0
"493","147  Plantago Maj 30Ml","BM","12",0,0,0
"494","148 Dioscorea 30Ml","BM","12",0,0,0
"495","149 Taraxacum 30Ml","BM","12",0,0,0
"496","150 Justicia Adhatoda 30Ml","BM","12",0,0,0
"497","151 Gelsemium 30Ml","BM","12",0,0,0
"498","152 Cyclamen 30Ml","BM","12",0,0,0
"499","153 Digitails 30Ml","BM","12",0,0,0
"500","154 Ptelea 30Ml","BM","12",0,0,0
"501","155 Hamfolium 30Ml","BM","12",0,0,0
"502","156 Hydrageron 30Ml","BM","12",0,0,0
"503","157 Pulsatilla 30Ml","BM","12",0,0,0
"504","158 Podophyllum 30Ml","BM","12",0,0,0
"505","159 A.Janosia 30Ml","BM","12",0,0,0
"506","160 Graphites 30Ml","BM","12",0,0,0
"507","161 Sangubarb 30Ml","BM","12",0,0,0
"508","162 Anagalis 30Ml","BM","12",0,0,0
"509","163 Kali Sulph 30Ml","BM","12",0,0,0
"510","164 Balsum 30Ml","BM","12",0,0,0
"511","165 Angelica Atro 30Ml","BM","12",0,0,0
"512","166 Aegle Folia 30Ml","BM","12",0,0,0
"513","167 Abrotanum 30Ml","BM","12",0,0,0
"514","168 Conium 30Ml","BM","12",0,0,0
"515","169 Ipecac 30Ml","BM","12",0,0,0
"516","170 Doryphora 30Ml","BM","12",0,0,0
"517","171 Anti Tart 30Ml","BM","12",0,0,0
"518","172 Iodium 30Ml","BM","12",0,0,0
"519","179 Digioxy 30Ml","BM","12",0,0,0
"520","173 Rhus Uren 30Ml","BM","12",0,0,0
"521","174 Lecithinum 30Ml","BM","12",0,0,0
"522","175 Casvara Sag 30Ml","BM","12",0,0,0
"523","176 Aconite Nap 30Ml","BM","12",0,0,0
"524","177 Arnica Mont 30Ml","BM","12",0,0,0
"525","178 Vaccininum 30Ml","BM","12",0,0,0
"526","180 Argentum Nit 30Ml","BM","12",0,0,0
"527","181 Helleborus","BM","12",0,0,0
"528","182 Merc Sol 30Ml","BM","12",0,0,0
"529","183 Cineraria 30Ml","BM","12",0,0,0
"530","184 Triticum Rep 30Ml","BM","12",0,0,0
"531","185 Echiphos 30Ml","BM","12",0,0,0
"532","1 Apis Melliffica 20Ml","HFP","24",0,0,0
"533","2 Collin Sonia 20Ml","HFP","24",0,0,0
"534","3 Cardus Marinus 20Ml","HFP","24",0,0,0
"535","4 Pelargonium 20Ml","HFP","24",0,0,0
"536","5 Syzygium 20Ml","HFP","24",0,0,0
"537","6 Drosera 20Ml","HFP","24",0,0,0
"538","8 Lemna Minar  20Ml","HFP","24",0,0,0
"539","10 Sepia 20Ml","HFP","24",0,0,0
"540","13 Calc Carb 20Ml","HFP","24",0,0,0
"541","14 Echinacea 20Ml","HFP","24",0,0,0
"542","15 Rhustox 20Ml","HFP","24",0,0,0
"543","16 Pulsatilla 20Ml","HFP","24",0,0,0
"544","19 Carbo Veg 20Ml","HFP","24",0,0,0
"545","20 Cratagus Oxy 20Ml","HFP","24",0,0,0
"546","21 Blatta Ori 20Ml","HFP","24",0,0,0
"547","22 Millefolium 20Ml","HFP","24",0,0,0
"548","23 Canthris 20Ml","HFP","24",0,0,0
"549","24 Kali Brom 20Ml","HFP","24",0,0,0
"550","25 Sabal Serr 20Ml","HFP","24",0,0,0
"551","26 Filix Mas 20Ml","HFP","24",0,0,0
"552","27 Kalmia 20Ml","HFP","24",0,0,0
"553","28 Thyrodinum 20Ml","HFP","24",0,0,0
"554","32 Fraxinus 20Ml","HFP","24",0,0,0
"555","33 Hepatica 20Ml","HFP","24",0,0,0
"556","34 Borex 20Ml","HFP","24",0,0,0
"557","35 Acid Phos 20Ml","HFP","24",0,0,0
"558","36 Arg Nit 20Ml","HFP","24",0,0,0
"559","37 Fel Turi 20Ml","HFP","24",0,0,0
"560","38 Berbaris Velg 20Ml","HFP","24",0,0,0
"561","39 Sulfer 20Ml","HFP","24",0,0,0
"562","40 Yohimbinum 20Ml","HFP","24",0,0,0
"563","41 Teucrium 20Ml","HFP","24",0,0,0
"564","42 Petrolium 20Ml","HFP","24",0,0,0
"565","43 Histamin 20Ml","HFP","24",0,0,0
"566","44 Jaborandi 20Ml","HFP","24",0,0,0
"567","45 Petisonum 20Ml","HFP","24",0,0,0
"568","46 Hydrocotyle 20Ml","HFP","24",0,0,0
"569","47 Ipicac 20Ml","HFP","24",0,0,0
"570","48 Alfalfa 20Ml","HFP","24",0,0,0
"571","49 Cholistrenum 20Ml","HFP","24",0,0,0
"572","50 Rauwalfia 20Ml","HFP","24",0,0,0
"573","Alfalfa 120Ml Syp","HFP","20",0,0,0
"574","Alfalfa 250Ml Syp","HFP","20",0,0,0
"575","Allergic 120Ml Syp","HFP","40",0,0,0
"576","Asthama-H 120Ml Syp","HFP","20",0,0,0
"577","Biona 120Ml Syp","HFP","15",0,0,0
"578","Bone Plus 120Ml Syp","HFP","25",0,0,0
"579","Cough Control 120Ml Syp","HFP","50",0,0,0
"580","Dyrofen 120Ml Syp","HFP","20",0,0,0
"581","Fever Kill 120Ml Syp","HFP","25",0,0,0
"582","Ferrum Compose 120Ml Syp","HFP","25",0,0,0
"583","Gastrogena 120Ml Syp","HFP","50",0,0,0
"584","Gastogena + Podina 250Ml Syp","HFP","30",0,0,0
"585","Growth-Up Baby Tonic 120Ml Syp","HFP","20",0,0,0
"586","Gyno Plus 120Ml Syp","HFP","30",0,0,0
"587","H-Biotic 120Ml Syp","HFP","30",0,0,0
"588","Khoon Safi 120Ml Syp","HFP","20",0,0,0
"589","Liver Rex 120Ml Syp","HFP","30",0,0,0
"590","Uronal 120Ml Syp","HFP","50",0,0,0
"591","Uronal 250Ml Syp","HFP","25",0,0,0
"592","Calci + 250Ml Syp","HFP","40",0,0,0
"593","Jam-E-Qalb 250Ml Syp","HFP","25",0,0,0
"594","Nervo + 250Ml Syp","HFP","25",0,0,0
"595","Power Inn 250Ml Syp","HFP","30",0,0,0
"596","Sharbat-E-Fload 250Ml Syp","HFP","25",0,0,0
"597","Wight Gainer Capsule","HFP","20",0,0,0
"598","Wight Loss Capsule","HFP","15",0,0,0
"599","Sexo Fort Capsule","HFP","15",0,0,0
"600","Sexofort Drops 20Ml","HFP","12",0,0,0
"601","Korean Ginsing Tonic 250Ml Syp","HFP","15",0,0,0
"602","Korean Ginsing Tonic 120Ml Syp","HFP","15",0,0,0
"603","Korean Ginsing Tonic 60Ml Syp","HFP","20",0,0,0
"604","Korean Ginsing Suger Free 250Ml Syp","HFP","15",0,0,0
"605","Kidney Gold Drops 20Ml","HFP","30",0,0,0
"606","Cold Cure Tablet","HFP","20",0,0,0
"607","Bed Wetting Tab","HFP","15",0,0,0
"608","Aurocard Drops","HFP","20",0,0,0
"609","Bad Wetting Drops","HFP","15",0,0,0
"610","Pilron Drops","HFP","20",0,0,0
"611","Uronal Drops","HFP","30",0,0,0
"612","Arnica Oil","HFP","15",0,0,0
"613","Power Fit Capsule","HFP","20",0,0,0
"614","Alfalfa 450Ml Syp","HFP","5",0,0,0
"615","Biona 450Ml Syp","HFP","5",0,0,0
"616","Bone Plus 450Ml","HFP","5",0,0,0
"617","Calci + 450Ml","HFP","5",0,0,0
"618","Cough Cantrol 450Ml","HFP","5",0,0,0
