Medicine Name,Company Name,Product Code,Purchase Price,Sale Price,Store Stock,Warehouse Stock,Category,Minimum Alert Level
"Ferrum phos 6x","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"Ars alb 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Plantigo Q 20ml","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Pb-22","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","1"
"Uva Ursi Q","bm Pharma","bm",0,0,0,0,"Homeopathic Drops","1"
"Pb-20","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","1"
"Famous soap","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Famous cream","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Carcinosinum 200 (Masood)","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Carcinosinum 200","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"Anthracinum 30","Kamal Laboratories","KAMAL",0,0,0,0,"Homeopathic Drops","1"
"Lycopodium 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Havert 20 Tab","Almanan Pharma","Almanan",0,0,0,0,"Homeopathic Drops","1"
"Kali Phos 30","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"vigolic tab","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","3"
"Silecea 200","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Calc sulph 12x","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Ecnatia Q","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Phosporus 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Chelidonium Q","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"2nd","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"2nd year","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Merc Corr 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Ezema cream","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","4"
"Selenium 3C Tab","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","24"
"Berberis Vulg 200 10ml","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Pulsatilla 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Thuja 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Cartygus Q","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","10"
"Lycopodium Q (S)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Stapysagria 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Bioge No 4","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","2"
"Flexolin","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
