"ID","Item Name","Item Code","Naration","Minimum Level","Sale Price","Purchase Price"
"340","Ecze Mek Eczema Ointment","MEK","0","6","230","230"
"341","Pilo Mek Haemorrhoids Ointment","MEK","0","6","170","170"
"342","Mek Sulf Medicated Cream","MEK","0","12","160","160"
"343","Damia Plus Cream For Men","MEK","0","6","280","240"
"344","Hydrocotyle Medicated Cream","MEK","0","6","150","130"
"345","Chrysarobinum Medicated Cream","MEK","0","6","230","230"
"346","Dermo Mek Acne Medicated Cream ","MEK","0","6","170","160"
"347","Arnica Medicated Cream","MEK","0","6","160","160"
"348","1 Hepar Sulf 30Ml","BM","0","12","190","190"
"349","2 Paeonia 30Ml","BM","0","12","190","190"
"350","3 Chelidonium 30Ml","BM","0","12","190","190"
"351","4 Veratrum Alb 30Ml","BM","0","12","190","114"
"352","5 Echinacea 30Ml","BM","0","12","190","190"
"353","6 Agripuls 30Ml","BM","0","12","160","160"
"354","7 Petroleum 30Ml","BM","0","12","190","190"
"355","8 Formica Rufa 30Ml","BM","0","12","190","190"
"356","9 Scrophularia 30Ml","BM","0","12","190","160"
"357","10 Opuntia 30Ml","BM","0","12","190","190"
"358","11 Usnea Barb 30Ml","BM","0","12","190","190"
"359","12 Anti Crud 30Ml","BM","0","12","190","190"
"360","13 Drosera 30Ml","BM","0","12","190","190"
"361","14 Gossypium 30Ml","BM","0","12","190","160"
"362","15 Lithium Carb 30Ml","BM","0","12","190","190"
"363","16 Cratagus 30Ml","BM","0","12","190","160"
"364","17 Passiflora 30Ml","BM","0","12","190","190"
"365","18 Ruta Grave","BM","0","12","190","190"
"366","19 Fucus Ves 30Ml","BM","0","12","190","160"
"367","20 Sulphur 30Ml","BM","0","12","190","114"
"368","21 Magnesia Mur 30Ml","BM","0","12","190","114"
"369","22 Adonisver 30Ml","BM","0","12","160","190"
"370","23 Equisetum 30Ml","BM","0","12","190","190"
"371","24 Kali Phos 30Ml","BM","0","12","190","160"
"372","25 Humulus Lup 30Ml","BM","0","12","190","190"
"373","26 Naphthalinum 30Ml","BM","0","12","190","190"
"374","27 Crocus 30Ml","BM","0","12","190","114"
"375","28 Arum Triph 30Ml","BM","0","12","190","114"
"376","29 Juniperus 30Ml","BM","0","12","190","190"
"377","30 Arte Nit 30Ml","BM","0","12","190","96"
"378","31 Calcarea Flor 30Ml","BM","0","12","160","114"
"379","32 Ceanothus 30Ml","BM","0","12","190","190"
"380","33 Ferrum Met 30Ml","BM","0","12","160","114"
"381","34 Grindonna 30Ml","BM","0","12","160","114"
"382","35 Colocynthis 30Ml","BM","0","12","190","190"
"383","36 Fraxinus 30Ml","BM","0","12","190","190"
"384","37 Iod Carb 30Ml","BM","0","12","190","190"
"385","38 Kali Brom 30Ml","BM","0","12","160","114"
"386","39 Urtica Urens 30Ml","BM","0","12","190","114"
"387","40 Zincum Acet 30Ml","BM","0","12","190","114"
"388","41 Angustura 30Ml","BM","0","12","190","190"
"389","42 Baptisia Tinic","BM","0","12","190","190"
"390","43 Santonine 30Ml","BM","0","12","190","114"
"391","44 Cimicifuga 30Ml","BM","0","12","190","160"
"392","45 Clematis 30Ml","BM","0","12","190","114"
"393","46 Chamomilla 30Ml","BM","0","12","190","114"
"394","47 Ginko Biloba 30Ml","BM","0","12","190","114"
"395","48 Chemobell 30Ml","BM","0","12","190","114"
"396","49 Saw Palmetto 30Ml","BM","0","12","190","114"
"397","50 Baryta Carb 30Ml","BM","0","12","190","96"
"398","51 Berberis Vulg 30Ml","BM","0","12","190","160"
"399","52 Cardus Mar 30Ml","BM","0","12","190","114"
"400","53 Apium Virus 30Ml","BM","0","12","190","160"
"401","54 Hyfraga 30Ml","BM","0","12","0","160"
"402","55 Daphne Ind 30Ml","BM","0","12","190","0"
"403","56 Euphorbium 30Ml","BM","0","12","190","160"
"404","57 Echindula 30Ml","BM","0","12","0","160"
"405","59 Calcarea 30Ml","BM","0","12","160","160"
"406","60 Fuligo 30Ml","BM","0","12","190","160"
"407","61 Acid Fumaric 30Ml","BM","0","12","0","160"
"408","62 Papaya 30Ml","BM","0","12","190","160"
"409","63 Kali Mur 30Ml","BM","0","12","190","160"
"410","64  Vesimel 30Ml","BM","0","12","160","160"
"411","65 Bellodonna 30Ml","BM","0","12","160","160"
"412","66 Ars Sulp","BM","0","12","160","160"
"413","67 Stigmaydis 30Ml","BM","0","12","190","96"
"414","68 Dulcamara 30Ml","BM","0","12","190","96"
"415","69 Lycopodium 30Ml","BM","0","12","160","96"
"416","70 Tuja 30Ml","BM","0","12","190","114"
"417","71 Baryta Mur 30Ml","BM","0","12","190","160"
"418","72 Pareira Brava Baryta Mur 30Ml","BM","0","12","190","190"
"419","73 Saccharum 30Ml","BM","0","12","0","160"
"420","74 Hydrastis 30Ml","BM","0","12","190","160"
"421","75 Alumina 30Ml","BM","0","12","190","190"
"422","76 Secale 30Ml","BM","0","12","160","160"
"423","77 Podocarb 30Ml","BM","0","12","160","114"
"424","78 Condurango 30Ml","BM","0","12","0","160"
"425","79 Polygonum 30Ml","BM","0","12","0","0"
"426","80 Aletris Far 30Ml","BM","0","12","190","190"
"427","81 Camphor 30Ml","BM","0","12","0","190"
"428","82 Beta Vulgaris 30Ml","BM","0","12","190","160"
"429","83 Rhenum 30Ml","BM","0","12","190","114"
"430","84 Lycopodium 30Ml","BM","0","12","190","190"
"431","85 Prunus 30Ml","BM","0","12","0","160"
"432","86 Filipendula 30Ml","BM","0","12","0","160"
"433","87 Gultheria 30Ml","BM","0","12","0","160"
"434","88 Moschus 30Ml","BM","0","12","160","190"
"435","89 Impatiens Glan 30Ml","BM","0","12","190","160"
"436","90 Helonias 30Ml","BM","0","12","0","190"
"437","91 Mandragora 30Ml","BM","0","12","0","160"
"438","92 Staphis 30Ml","BM","0","12","0","160"
"439","94 Menyathus 30Ml","BM","0","12","160","160"
"440","93 Mezereum 30Ml","BM","0","12","0","190"
